SATIS1,SATIS2,SATIS3,SATIS4,SATIS5,SATIS6,SATIS7,SATIS8,SATIS9,SATIS10,SATIS11,SATIS12,SuWB1,SuWB2,SuWB3,SuWB4,SuWB5,SuWB6,SuWB7,Leeftijd,Geslacht,Werk,Opleiding,SNSaccount
5,4,6,5,4,5,3,2,3,4,3,4,3,3,4,4,3,3,4,24,2,3,5,2
5,4,6,6,4,6,2,3,3,5,3,5,6,3,5,5,2,4,5,22,2,3,5,2
5,4,5,4,4,5,1,4,1,4,4,5,5,2,7,5,4,1,4,25,2,3,5,2
4,4,5,5,1,5,2,5,3,4,3,2,3,3,5,5,3,3,4,22,1,3,5,2
1,4,5,2,3,5,5,6,5,6,2,3,5,3,6,5,5,6,4,22,2,3,5,2
5,4,5,5,4,5,4,4,4,4,4,5,5,4,5,5,5,4,5,23,2,3,5,2
4,1,5,4,1,4,1,4,1,1,4,1,2,1,7,5,3,1,4,24,2,3,5,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,23,2,3,5,2
4,4,6,5,4,5,1,4,4,4,4,7,2,3,7,5,3,2,5,25,2,3,5,2
4,4,5,4,4,5,4,3,4,4,3,5,7,4,4,5,3,4,4,23,2,2,5,2
6,1,6,5,1,6,1,6,1,1,3,4,1,1,7,6,2,2,6,22,2,3,5,2
3,1,5,4,1,3,1,6,2,1,1,3,4,2,5,5,2,3,5,23,2,3,4,2
3,3,5,6,5,5,3,6,5,2,5,5,5,5,3,4,4,4,4,23,1,2,5,2
4,1,4,5,1,5,1,6,1,1,4,2,3,2,6,4,2,4,3,22,2,3,4,2
6,2,6,6,2,6,2,6,2,2,3,2,1,1,6,5,1,1,5,24,2,1,4,2
4,4,3,3,3,4,1,6,2,4,2,4,4,2,5,4,5,4,3,22,2,3,5,2
5,2,5,4,2,5,2,6,2,2,4,4,4,2,2,4,4,4,4,26,2,3,5,1
